filename,url,date,asn,country
2021020416_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210204/16/IR/urlgetter/2021020416_IR_urlgetter.n0.0.jsonl.gz,2021-02-04,AS62442,IR
2021020500_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/00/IR/urlgetter/2021020500_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020501_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/01/IR/urlgetter/2021020501_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020509_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/09/IR/urlgetter/2021020509_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020510_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/10/IR/urlgetter/2021020510_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020512_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/12/IR/urlgetter/2021020512_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020514_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/14/IR/urlgetter/2021020514_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020518_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/18/IR/urlgetter/2021020518_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020519_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/19/IR/urlgetter/2021020519_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020520_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210205/20/IR/urlgetter/2021020520_IR_urlgetter.n0.0.jsonl.gz,2021-02-05,AS62442,IR
2021020604_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210206/04/IR/urlgetter/2021020604_IR_urlgetter.n0.0.jsonl.gz,2021-02-06,AS62442,IR
2021020605_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210206/05/IR/urlgetter/2021020605_IR_urlgetter.n0.0.jsonl.gz,2021-02-06,AS62442,IR
2021020613_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210206/13/IR/urlgetter/2021020613_IR_urlgetter.n0.0.jsonl.gz,2021-02-06,AS62442,IR
2021020614_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210206/14/IR/urlgetter/2021020614_IR_urlgetter.n0.0.jsonl.gz,2021-02-06,AS62442,IR
2021020622_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210206/22/IR/urlgetter/2021020622_IR_urlgetter.n0.0.jsonl.gz,2021-02-06,AS62442,IR
2021020623_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210206/23/IR/urlgetter/2021020623_IR_urlgetter.n0.0.jsonl.gz,2021-02-06,AS62442,IR
2021020707_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210207/07/IR/urlgetter/2021020707_IR_urlgetter.n0.0.jsonl.gz,2021-02-07,AS62442,IR
